epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,32556.9,2.00643,2.35952,1.97616,0.13359,0.2117,0.08851,0.02883,2.18598,2.6725,2.25152,0.003862,0.003862,0.003862
126,32654.4,2.00738,2.34695,1.96691,0.12948,0.22119,0.08837,0.02886,2.18614,2.67132,2.25125,0.0038125,0.0038125,0.0038125
127,32752.2,2.00228,2.33183,1.96418,0.12971,0.22082,0.08876,0.02892,2.18611,2.66976,2.25124,0.003763,0.003763,0.003763
128,32850,2.01359,2.34822,1.97819,0.13031,0.22046,0.08864,0.02887,2.18659,2.66824,2.25154,0.0037135,0.0037135,0.0037135
129,32948.8,2.00264,2.34303,1.97185,0.1298,0.22,0.08851,0.02879,2.18661,2.66659,2.2513,0.003664,0.003664,0.003664
130,33046.6,2.0105,2.34536,1.96492,0.12971,0.21931,0.0884,0.02881,2.18694,2.66546,2.25113,0.0036145,0.0036145,0.0036145
131,33144.8,2.0096,2.35948,1.9715,0.13007,0.219,0.08818,0.02882,2.18646,2.66538,2.25069,0.003565,0.003565,0.003565
132,33242.8,1.99871,2.35225,1.97832,0.1341,0.21015,0.08845,0.02888,2.186,2.6642,2.24985,0.0035155,0.0035155,0.0035155
133,33340.4,2.00018,2.33423,1.97337,0.13402,0.2096,0.08872,0.02897,2.186,2.66314,2.2496,0.003466,0.003466,0.003466
134,33439.8,1.99467,2.33258,1.96797,0.13402,0.2106,0.08906,0.02905,2.18549,2.66198,2.24934,0.0034165,0.0034165,0.0034165
135,33539.1,2.00121,2.34351,1.96368,0.12931,0.21845,0.08917,0.02904,2.18469,2.66134,2.24841,0.003367,0.003367,0.003367
136,33637.8,2.00198,2.34724,1.97081,0.13397,0.21088,0.08922,0.02915,2.18391,2.65995,2.2476,0.0033175,0.0033175,0.0033175
137,33736.5,2.00103,2.33907,1.95738,0.12979,0.21836,0.08943,0.02922,2.18343,2.65869,2.24653,0.003268,0.003268,0.003268
138,33835.2,1.995,2.35874,1.96987,0.13436,0.20896,0.08912,0.0291,2.18336,2.65811,2.2469,0.0032185,0.0032185,0.0032185
139,33933.8,2.00462,2.34926,1.97248,0.12933,0.21635,0.08921,0.02917,2.18253,2.65772,2.24656,0.003169,0.003169,0.003169
